,total_energy_Wh,average_power_W,maxPower,t0_900,t1_900
,5910,627.814335,11000,32,71
,12010,1513.547574,11000,32,65
,10090,1380.773178,11000,32,62
,8651,937.7213056,11000,32,70
,16730,3400.406504,11000,32,52
,17140,4650.237395,11000,31,47
,30340,3118.903484,11000,31,71
,5070,703.7051317,11000,31,61
,23379,2822.603796,11000,31,65
,17001,1375.949282,11000,30,80
,26541,3666.305974,11000,29,59
,17690,2002.95644,11000,29,65
,13410,1373.858106,11000,29,69
,13900,2435.984812,11000,28,52
,6580,593.0599369,11000,28,74
,8360,861.2883839,11000,28,67
,22390,2737.349725,11000,27,61
,20960,2462.502448,11000,27,62
,17930,2085.355216,11000,25,61
,8661,1980.914867,11000,55,74
,28640,7988.223445,11000,55,70
,27850,5778.008299,11000,52,72
,24060,8381.652797,11000,52,64
,31090,7334.949866,11000,51,69
,11570,5514.629948,11000,50,59
,25500,7258.064516,11000,49,64
,12450,3420.590704,11000,47,63
,6900,1391.206945,11000,47,67
,24690,5357.039537,11000,43,62
,44041,9654.585312,11000,40,60
,13720,9494.809689,11000,40,47
,35670,3667.342567,11000,40,80
,23820,3669.790731,11000,39,66
,20150,4467.298928,11000,38,57
,43830,7874.438567,11000,38,62
,46630,7116.669493,11000,38,65
,7960,994.8618247,11000,38,71
,7280,1150.583897,11000,37,64
,8709,1005.17457,11000,37,72
,17120,2910.464677,11000,36,61
,9230,1219.241918,11000,36,68
,5160,672.6048229,11000,36,68
,55491,7405.931638,11000,36,67
,12581,1422.117558,11000,36,72
,47110,5041.348355,11000,36,74
,42020,5008.343266,11000,36,70
,25300,3897.971411,11000,35,62
,10711,1323.571208,11000,35,68
,22440,2853.247625,11000,35,67
,8810,1050.02483,11000,35,69
,17550,3896.392229,11000,35,54
,8250,1247.479839,11000,34,62
,8370,895.3999762,11000,34,73
,9460,993.697479,11000,34,73
,13560,1604.62823,11000,34,69
,33690,8002.375297,11000,34,52
,29199,3457.435122,11000,34,68
,31730,5643.675889,11000,34,57
,10211,2227.854545,11000,34,53
,27771,2645.627034,11000,33,76
,6670,1628.815629,11000,33,51
,32210,3836.553732,11000,33,68
,44799,5320.72185,11000,33,68
,4629,576.7625376,11000,33,66
,25891,3479.063865,11000,33,64
,36839,8938.491609,11000,33,50
,6200,1579.84145,11000,32,49
,27261,3241.819443,11000,32,67
,4060,2267.452684,11000,32,40
,8560,1081.452886,11000,32,65
,24150,5611.204337,11000,32,50
,3820,424.9034451,11000,32,69
,29810,3022.985915,11000,32,72
,7020,1027.400602,11000,32,60
,8889,912.8626444,11000,31,71
,8680,1304.772642,11000,31,59
,9660,1858.287913,11000,31,53
,5480,603.6719706,11000,31,68
,8310,820.4931296,11000,31,72
,22420,3192.59523,11000,31,60
,32960,4001.48383,11000,31,64
,15190,1968.183127,11000,30,62
,4670,439.5294118,11000,30,74
,55789,6591.198188,11000,29,64
,25361,3475.961319,11000,29,59
,11830,1411.226721,11000,29,64
,24240,2910.449255,11000,29,63
,6590,782.4022162,11000,29,63
,7450,1022.844285,11000,28,58
,14410,1883.72853,11000,25,57
,17760,1980.669145,11000,25,62
,8750,1196.035995,11000,25,55
,9280,1124.545577,11000,25,59
,6999,3213.826531,11000,60,70
,1839,952.4384981,11000,58,67
,24079,10892.73687,11000,57,66
,26740,5284.58498,11000,50,71
,25420,6116.703429,11000,47,64
,19400,3185.114243,11000,46,71
,32771,4783.505656,11000,46,74
,6630,1472.424429,11000,46,65
,24261,3783.22793,11000,44,71
,11390,2245.564074,11000,40,61
,24740,3087.675507,11000,40,73
,23630,3812.315138,11000,40,65
,33350,5390.867047,11000,40,65
,37780,8899.882214,11000,39,57
,23871,5522.85347,11000,39,57
,20310,3589.21997,11000,38,62
,34310,6850.582363,11000,38,59
,27759,6218.955753,11000,38,57
,8900,2170.290591,11000,38,55
,33430,3905.500568,11000,38,73
,58130,6474.275284,11000,37,74
,9470,1139.971912,11000,37,72
,18130,2882.734862,11000,37,63
,6600,767.4170731,11000,37,72
,7100,1089.792786,11000,37,64
,39930,5650.027514,11000,37,66
,36880,5942.529765,11000,36,62
,34050,5930.907683,11000,36,60
,30870,4917.345133,11000,36,62
,27150,3344.511361,11000,36,70
,34001,3608.27757,11000,36,75
,26459,2994.887596,11000,36,72
,9430,1321.139477,11000,36,65
,48200,5652.301378,11000,36,71
,33530,10297.56014,11000,36,50
,6140,837.6217363,11000,35,66
,22751,2930.571061,11000,35,67
,7119,833.1187829,11000,35,70
,34900,11127.44664,11000,35,49
,17530,1809.807858,11000,35,75
,3070,314.8628244,11000,35,75
,46630,5865.818715,11000,35,68
,9140,1067.514518,11000,35,70
,23820,2943.76931,11000,35,68
,43050,6406.25,11000,35,63
,8230,848.575111,11000,35,74
,19440,2956.529086,11000,34,62
,12120,3207.291973,11000,34,50
,31211,3416.639299,11000,34,72
,5260,660.9885507,11000,34,67
,23751,2963.729636,11000,34,67
,13970,2388.034188,11000,34,58
,30800,3289.914844,11000,34,72
,38240,3832.410011,11000,34,75
,24820,7269.118126,11000,34,48
,4870,537.1817263,11000,34,71
